KJFK,JFK
KLAX,LAX
KORD,ORD
KSFO,SFO
KATL,ATL
KMIA,MIA
KBOS,BOS
KDEN,DEN
KDFW,DFW
KIAH,IAH
KLAS,LAS
KPHX,PHX
KSEA,SEA
KEWR,EWR
KLGA,LGA
KMSP,MSP
KDTW,DTW
KIAD,IAD
KDCA,DCA
KBWI,BWI
KPHL,PHL
KCLT,CLT
KMCO,MCO
KFLL,FLL
KTPA,TPA
KSAN,SAN
KSJC,SJC
KOAK,OAK
KSLC,SLC
KPDX,PDX
KHNL,HNL
KANC,ANC
KABQ,ABQ
KAUS,AUS
KSAT,SAT
KDAL,DAL
KHOU,HOU
KMDW,MDW
KCLE,CLE
KCVG,CVG
KPIT,PIT
KCMH,CMH
KIND,IND
KMKE,MKE
KMEM,MEM
KBNA,BNA
KMSY,MSY
KRDU,RDU
KJAX,JAX
KPBI,PBI
KSNA,SNA
KSMF,SMF
KMCI,MCI
KSTL,STL
KOMA,OMA
KOKC,OKC
KTUL,TUL
KRSW,RSW
KSRQ,SRQ
KRIC,RIC
KORF,ORF
KBUF,BUF
KROC,ROC
KSYR,SYR
KALB,ALB
KBDL,BDL
KCHS,CHS
KSAV,SAV
KMYR,MYR
KILM,ILM
KPWM,PWM
KMHT,MHT
KPVD,PVD
KHPN,HPN
KISP,ISP
KBUR,BUR
KLGB,LGB
KONT,ONT
KPNS,PNS
KECP,ECP
KLIT,LIT
KXNA,XNA
CYYZ,YYZ
CYVR,YVR
CYUL,YUL
CYOW,YOW
CYYC,YYC
CYEG,YEG
CYHZ,YHZ
CYQB,YQB
CYWG,YWG
CYXE,YXE
CYHM,YHM
CYKF,YKF
CYTZ,YTZ
CYLW,YLW
CYXC,YXC
MMMX,MEX
MMUN,CUN
MMGL,GDL
MMMY,MTY
MMPR,PVR
MMSD,SJD
MMTJ,TIJ
MMMD,MID
MMQT,QRO
MMTO,TLC
EGLL,LHR
EGKK,LGW
EGSS,STN
EGBB,BHX
EGCC,MAN
EGPH,EDI
EGNX,EMA
EGGW,LTN
EGGD,BRS
EGAA,BFS
EGPF,GLA
EGPD,ABZ
EGNS,IOM
EICK,ORK
EIDW,DUB
EINN,SNN
EIWF,WAT
LFPG,CDG
LFPO,ORY
LFMN,NCE
LFML,MRS
LFBO,TLS
LFLL,LYS
LFSB,BSL
EDDF,FRA
EDDM,MUC
EDDB,BER
EDDH,HAM
EDDL,DUS
EDDK,CGN
EDDS,STR
EDDP,LEJ
EDDV,HAJ
EDDC,DRS
EHAM,AMS
EHRD,RTM
EHEH,EIN
LEMD,MAD
LEBL,BCN
LEPA,PMI
GCTS,TFS
GCXO,TFN
LIRF,FCO
LIMC,MXP
LIML,LIN
LICC,CTA
LIPZ,VCE
LIEE,CAG
LSZH,ZRH
LSGG,GVA
LSZA,LUG
LOWW,VIE
LOWI,INN
LOWS,SZG
EKCH,CPH
EKBI,BLL
ENGM,OSL
ENBR,BGO
ESSA,ARN
ESGG,GOT
EFHK,HEL
LPPT,LIS
LPPR,OPO
LPMA,FNC
EPWA,WAW
EPKK,KRK
LKPR,PRG
LHBP,BUD
LROP,OTP
LGAV,ATH
LGIR,HER
LTFM,IST
LTBA,ISL
LTBJ,ADB
LTAI,AYT
LTBS,DLM
UUEE,SVO
UUDD,DME
UUWW,VKO
ULLI,LED
VHHH,HKG
VTBS,BKK
VTSP,HKT
VTBD,DMK
WSSS,SIN
WIII,CGK
WADD,DPS
WIMM,KNO
WMKK,KUL
WMKP,PEN
RPLL,MNL
RPVM,CEB
VABB,BOM
VIDP,DEL
VOBL,BLR
VOMM,MAA
VECC,CCU
VOCI,COK
VOHS,HYD
RJTT,HND
RJAA,NRT
RJBB,KIX
RJOO,ITM
RJCC,CTS
RJFF,FUK
RKSI,ICN
RKPC,CJU
RCTP,TPE
RCSS,TSA
ZBAA,PEK
ZSPD,PVG
ZSSS,SHA
ZGGG,CAN
ZUUU,CTU
ZSHC,HGH
ZPPP,KMG
ZGSZ,SZX
ZSNJ,NKG
ZBAD,PKX
OMDB,DXB
OMAA,AUH
OMSJ,SHJ
OEJN,JED
OERK,RUH
OTHH,DOH
OBBI,BAH
OIIE,IKA
OKBK,KWI
LLBG,TLV
OJAI,AMM
YSSY,SYD
YMML,MEL
YBBN,BNE
YPPH,PER
YPAD,ADL
YBCS,CNS
YBTL,TSV
YSCB,CBR
YMHB,HBA
NZAA,AKL
NZCH,CHC
NZWN,WLG
NZQN,ZQN
FAOR,JNB
FACT,CPT
FADN,DUR
FALE,DUR
FAJS,JNB
HKJK,NBO
HKMO,MBA
HAAB,ADD
DNMM,LOS
GMMN,CMN
GMAD,AGA
HECA,CAI
HESH,SSH
SAEZ,EZE
SABE,AEP
SACO,COR
SANT,TUC
SBGR,GRU
SBGL,GIG
SBBR,BSB
SBRJ,SDU
SBPA,POA
SBCF,CNF
SBRF,REC
SCEL,SCL
SCTE,PMC
SKBO,BOG
SKRG,MDE
SEQM,UIO
SEGU,GYE
SPJC,LIM
SPQT,IQT
